Time [s];Cella hõmérséklete [°C];Szoba hõmérséklete [°C]
322.8;23.79;23.53
323.2;23.7;23.53
323.6;23.7;23.53
324;23.79;23.53
324.4;23.7;23.53
324.8;23.7;23.53
325.2;23.7;23.53
325.6;23.7;23.53
326.1;23.7;23.53
326.5;23.7;23.53
326.9;23.79;23.53
327.3;23.79;23.53
327.7;23.7;23.53
328.1;23.7;23.53
328.5;23.79;23.53
328.9;23.7;23.53
329.3;23.79;23.53
329.7;23.7;23.53
330.1;23.7;23.53
330.5;23.79;23.53
331;23.79;23.53
331.4;23.7;23.53
331.8;23.79;23.53
332.2;23.79;23.53
332.6;23.79;23.53
333;23.79;23.53
333.4;23.79;23.53
333.8;23.79;23.53
334.2;23.7;23.53
334.6;23.79;23.53
335;23.79;23.53
335.4;23.79;23.53
335.8;23.79;23.53
336.2;23.79;23.53
336.7;23.79;23.53
337.1;23.79;23.53
337.5;23.7;23.53
337.9;23.79;23.53
338.3;23.79;23.53
338.7;23.79;23.62
339.1;23.79;23.53
339.5;23.79;23.62
339.9;23.79;23.53
340.3;23.79;23.62
340.7;23.79;23.53
341.1;23.79;23.53
341.5;23.79;23.53
342;23.79;23.62
342.4;23.79;23.62
342.8;23.79;23.62
343.2;23.79;23.62
343.6;23.79;23.62
344;23.79;23.62
344.4;23.79;23.62
344.8;23.79;23.62
345.2;23.79;23.62
345.6;23.79;23.62
346;23.79;23.62
346.4;23.79;23.62
346.8;23.7;23.62
347.3;23.79;23.62
347.7;23.79;23.62
348.1;23.79;23.62
348.5;23.79;23.62
348.9;23.79;23.62
349.3;23.79;23.62
349.7;23.79;23.62
350.1;23.79;23.62
350.5;23.79;23.62
350.9;23.79;23.62
351.3;23.79;23.62
351.7;23.79;23.62
352.1;23.79;23.62
352.5;23.79;23.62
353;23.79;23.62
353.4;23.79;23.62
353.8;23.79;23.62
354.2;23.79;23.62
354.6;23.79;23.62
355;23.79;23.62
355.4;23.79;23.62
355.8;23.79;23.62
356.2;23.7;23.62
356.6;23.79;23.62
357;23.79;23.62
357.4;23.79;23.62
357.9;23.79;23.62
358.3;23.79;23.62
358.7;23.79;23.62
359.1;23.79;23.62
359.5;23.79;23.62
359.9;23.79;23.62
360.3;23.79;23.62
360.7;23.79;23.62
361.1;23.79;23.7
361.5;23.79;23.7
361.9;23.79;23.7
362.3;23.79;23.62
362.7;23.79;23.7
363.1;23.79;23.7
363.6;23.79;23.7
364;23.79;23.7
364.4;23.79;23.7
364.8;23.79;23.62
365.2;23.79;23.7
365.6;23.79;23.7
366;23.79;23.7
366.4;23.79;23.7
366.8;23.79;23.62
367.2;23.79;23.7
367.6;23.79;23.62
368;23.79;23.62
368.4;23.79;23.7
368.9;23.79;23.7
369.3;23.79;23.7
369.7;23.79;23.7
370.1;23.79;23.7
370.5;23.79;23.7
370.9;23.79;23.7
371.3;23.79;23.7
371.7;23.79;23.7
372.1;23.79;23.79
372.5;23.79;23.79
372.9;23.79;23.79
373.3;23.79;23.79
373.7;23.79;23.79
374.2;23.79;23.79
374.6;23.79;23.79
375;23.79;23.79
375.4;23.79;23.79
375.8;23.79;23.79
376.2;23.79;23.79
376.6;23.79;23.79
377;23.79;23.79
377.4;23.79;23.79
377.8;23.79;23.79
378.2;23.79;23.79
378.6;23.79;23.79
379.1;23.79;23.88
379.5;23.79;23.79
379.9;23.79;23.79
380.3;23.79;23.79
380.7;23.79;23.79
381.1;23.79;23.79
381.5;23.79;23.88
381.9;23.79;23.88
382.3;23.79;23.88
382.7;23.79;23.88
383.1;23.79;23.88
383.5;23.79;23.88
383.9;23.79;23.88
384.3;23.79;23.88
384.8;23.79;23.88
385.2;23.79;23.88
385.6;23.79;23.88
386;23.79;23.88
386.4;23.79;23.88
386.8;23.79;23.88
387.2;23.79;23.88
387.6;23.79;23.88
388;23.79;23.88
388.4;23.79;23.88
388.8;23.79;23.88
389.2;23.79;23.88
389.6;23.79;23.88
390.1;23.79;23.88
390.5;23.79;23.88
390.9;23.79;23.88
391.3;23.79;23.88
391.7;23.79;23.88
392.1;23.79;23.96
392.5;23.79;23.96
392.9;23.79;23.96
393.3;23.79;23.96
393.7;23.79;23.96
394.1;23.79;23.96
394.5;23.79;23.96
395;23.79;23.96
395.4;23.79;23.96
395.8;23.79;23.96
396.2;23.79;23.96
396.6;23.79;23.96
397;23.79;23.96
397.4;23.79;23.96
397.8;23.79;23.96
398.2;23.79;23.96
398.6;23.79;23.96
399;23.79;24.05
399.4;23.79;24.05
399.8;23.79;24.05
400.2;23.79;24.05
400.7;23.79;24.05
401.1;23.79;24.05
401.5;23.79;24.05
401.9;23.79;24.05
402.3;23.79;24.05
402.7;23.79;23.96
403.1;23.79;24.05
403.5;23.79;23.96
403.9;23.79;24.05
404.3;23.79;23.96
404.7;23.79;24.05
405.1;23.79;24.05
405.5;23.79;24.05
406;23.79;23.96
406.4;23.79;23.96
406.8;23.79;23.96
407.2;23.79;23.96
407.6;23.79;23.96
408;23.79;23.96
408.4;23.79;23.96
408.8;23.79;23.96
409.2;23.79;23.96
409.6;23.79;23.96
410;23.79;23.96
410.4;23.79;23.96
410.8;23.79;23.96
411.2;23.79;23.96
411.7;23.79;23.96
412.1;23.79;23.96
412.5;23.79;23.96
412.9;23.79;23.96
413.3;23.79;23.96
413.7;23.79;23.96
414.1;23.79;23.96
414.5;23.79;23.96
414.9;23.79;23.96
415.3;23.79;23.96
415.7;23.79;23.96
416.1;23.79;23.96
416.6;23.79;23.96
417;23.79;23.96
417.4;23.79;23.88
417.8;23.79;23.96
418.2;23.79;23.88
418.6;23.79;23.88
419;23.79;23.88
419.4;23.79;23.96
419.8;23.79;23.96
420.2;23.79;23.96
420.6;23.79;23.88
421;23.79;23.88
421.5;23.79;23.88
421.9;23.79;23.88
422.3;23.79;23.88
422.7;23.79;23.88
423.1;23.79;23.88
423.5;23.79;23.88
423.9;23.79;23.88
424.3;23.79;23.88
424.7;23.79;23.88
425.1;23.79;23.88
425.5;23.79;23.88
425.9;23.79;23.88
426.3;23.79;23.88
426.7;23.79;23.88
427.2;23.79;23.88
427.6;23.79;23.88
428;23.79;23.88
428.4;23.79;23.88
428.8;23.79;23.88
429.2;23.79;23.88
429.6;23.79;23.88
