Time [s];Cell_1 Volatge [V];Cell_2 Volatge [V];Cell_3 Volatge [V];Cell_4 Volatge [V]
282.1;3.296;3.296;3.296;3.32
282.5;3.301;3.301;3.296;3.325
282.9;3.301;3.296;3.301;3.325
283.3;3.296;3.296;3.301;3.32
283.7;3.296;3.291;3.296;3.32
284.1;3.291;3.296;3.296;3.32
284.6;3.291;3.296;3.301;3.325
285;3.301;3.296;3.296;3.32
285.4;3.296;3.296;3.301;3.32
285.8;3.296;3.296;3.296;3.325
286.2;3.296;3.296;3.296;3.32
286.7;3.291;3.301;3.301;3.32
287.1;3.296;3.296;3.301;3.32
287.5;3.296;3.296;3.296;3.32
287.9;3.296;3.296;3.296;3.32
288.3;3.296;3.296;3.296;3.32
288.7;3.296;3.301;3.301;3.325
