Time [s];Voltage [V];Current [A]
406.6;3.46;5
407;3.46;5
407.4;3.46;5
407.8;3.46;5
408.2;3.46;5
408.6;3.46;5
409;3.46;5
409.4;3.46;5
409.8;3.46;5
410.2;3.46;5
410.6;3.46;5
411;3.46;5
411.5;3.46;5
411.9;3.46;5
412.3;3.46;5
412.7;3.46;5
413.1;3.46;5
413.5;3.46;5
413.9;3.46;5
414.3;3.46;5
414.7;3.46;5
415.1;3.46;5
415.5;3.46;5
415.9;3.46;5
416.3;3.46;5
416.8;3.46;5
417.2;3.46;5
417.6;3.46;5
418;3.46;5
418.4;3.46;5
418.8;3.46;5
419.2;3.46;5
419.6;3.46;5
420;3.46;5
420.4;3.46;5
420.8;3.46;5
421.2;3.46;5
421.6;3.46;5
422;3.46;5
422.4;3.46;5
422.9;3.46;5
423.3;3.46;5
423.7;3.46;5
424.1;3.46;5
424.5;3.46;5
424.9;3.46;5
425.3;3.46;5
425.7;3.46;5
426.1;3.46;5
426.5;3.46;5
426.9;3.46;5
427.3;3.46;5
427.7;3.46;5
428.2;3.46;5
428.6;3.46;5
429;3.46;5
429.4;3.46;5
429.8;3.46;5
430.2;3.46;5
430.6;3.46;5
431;3.46;5
431.4;3.46;5
431.8;3.46;5
432.2;3.46;5
432.6;3.46;5
433.1;3.46;5
433.5;3.46;5
433.9;3.46;5
434.3;3.46;5
434.7;3.46;5
435.1;3.46;5
435.5;3.46;5
435.9;3.46;5
436.3;3.46;5
436.7;3.46;5
437.1;3.46;5
437.5;3.46;5
437.9;3.46;5
438.4;3.46;5
438.8;3.46;5
439.2;3.46;5
439.6;3.46;5
440;3.46;5
440.4;3.46;5
440.8;3.46;5
441.2;3.46;5
441.6;3.46;5
442;3.46;5
442.4;3.46;5
442.8;3.46;5
443.2;3.46;5
443.6;3.46;5
444.1;3.46;5
444.5;3.46;5
444.9;3.46;5
445.3;3.46;5
445.7;3.46;5
446.1;3.46;5
446.5;3.46;5
446.9;3.46;5
447.3;3.46;5
447.7;3.46;5
448.1;3.46;5
448.5;3.46;5
449;3.46;5
449.4;3.46;5
449.8;3.46;5
450.2;3.46;5
450.6;3.46;5
451;3.46;5
451.4;3.46;5
451.8;3.46;5
452.2;3.46;5
452.6;3.46;5
453;3.46;5
453.4;3.46;5
453.8;3.46;5
454.2;3.46;5
454.6;3.46;5
455.1;3.46;5
455.5;3.46;5
455.9;3.46;5
456.3;3.46;5
456.7;3.46;5
457.1;3.46;5
457.5;3.46;5
457.9;3.46;5
458.3;3.46;5
458.7;3.46;5
459.1;3.46;5
459.5;3.46;5
460;3.46;5
460.4;3.46;5
460.8;3.46;5
461.2;3.46;5
461.6;3.46;5
462;3.46;5
462.4;3.46;5
462.8;3.46;5
463.2;3.46;5
463.6;3.46;5
464;3.46;5
464.4;3.46;5
464.8;3.46;5
465.3;3.46;5
465.7;3.46;5
466.1;3.46;5
466.5;3.46;5
466.9;3.46;5
467.3;3.46;5
467.7;3.46;5
468.1;3.46;5
468.5;3.46;5
468.9;3.46;5
469.3;3.46;5
469.7;3.46;5
470.1;3.46;5
470.6;3.46;5
471;3.46;5
471.4;3.46;5
471.8;3.46;5
472.2;3.46;5
472.6;3.46;5
473;3.46;5
473.4;3.46;5
473.8;3.46;5
474.2;3.46;5
474.6;3.46;5
475;3.46;5
475.4;3.46;5
475.9;3.46;5
476.3;3.46;5
476.7;3.46;5
477.1;3.46;5
477.5;3.46;5
477.9;3.46;5
478.3;3.46;5
478.7;3.46;5
479.1;3.46;5
479.5;3.46;5
479.9;3.46;5
480.3;3.46;5
480.7;3.46;5
481.2;3.46;5
481.6;3.46;5
482;3.46;5
482.4;3.46;5
482.8;3.46;5
483.2;3.46;5
483.6;3.46;5
484;3.46;5
484.4;3.46;5
484.8;3.46;5
485.2;3.46;5
485.6;3.46;5
486.1;3.46;5
486.5;3.46;5
486.9;3.46;5
487.3;3.46;5
487.7;3.46;5
488.1;3.46;5
488.5;3.46;5
488.9;3.46;5
489.3;3.46;5
489.8;3.46;5
490.2;3.46;5
490.6;3.46;5
491;3.46;5
491.4;3.46;5
491.8;3.46;5
492.2;3.46;5
492.6;3.46;5
493;3.46;5
493.4;3.46;5
493.8;3.46;5
494.2;3.46;5
494.7;3.46;5
495.1;3.46;5
495.5;3.46;5
495.9;3.46;5
